               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11467,             0.10959,            0.028812,           0.0029302,            0.039771,           0.0014951,          0.00038407,             0.10806,             0.10141,            0.028636,           0.0032804,           0.0032804,            0.070476
                   1,             0.10028,             0.14607,            0.028129,            0.026881,            0.076045,            0.010495,           0.0021772,             0.08834,              0.1286,            0.027604,           0.0065319,           0.0065319,            0.040394
                   2,            0.090079,             0.13031,             0.02714,            0.054187,             0.23763,             0.03956,            0.007831,            0.089018,             0.12229,            0.026796,           0.0097009,           0.0097009,             0.01023
                   3,            0.088986,              0.1476,            0.025557,            0.020861,            0.055066,           0.0089346,           0.0020068,            0.096753,             0.10428,            0.024839,           0.0096288,           0.0096288,           0.0096288
                   4,            0.096495,             0.12663,            0.024401,            0.028491,             0.12303,            0.012249,           0.0027464,             0.11167,             0.11837,            0.023137,           0.0096288,           0.0096288,           0.0096288
                   5,            0.096126,              0.1097,            0.022444,              0.2099,             0.29413,             0.17131,              0.0516,             0.09013,             0.10321,            0.024293,            0.009505,            0.009505,            0.009505
                   6,            0.086343,             0.11635,            0.020556,            0.094794,             0.22627,             0.07608,            0.018575,             0.10681,             0.11839,            0.016232,           0.0093813,           0.0093813,           0.0093813
                   7,            0.095047,             0.11027,            0.017804,             0.39015,             0.37933,             0.28329,            0.075486,             0.10605,             0.10808,             0.01254,           0.0092575,           0.0092575,           0.0092575
                   8,             0.09034,             0.11423,            0.015444,             0.16643,             0.31169,             0.15199,            0.037872,            0.089913,             0.11683,            0.013622,           0.0091337,           0.0091337,           0.0091337
                   9,            0.087962,             0.11537,             0.01439,             0.15602,             0.30157,             0.17483,            0.056544,            0.080581,            0.094951,            0.013341,             0.00901,             0.00901,             0.00901
                  10,            0.081673,             0.11384,            0.013913,             0.34487,             0.38356,             0.28633,             0.11512,            0.079522,             0.09767,            0.012367,           0.0088863,           0.0088863,           0.0088863
                  11,            0.078387,             0.11698,            0.012976,             0.19483,             0.41254,             0.19471,            0.046454,            0.080307,            0.092702,            0.010869,           0.0087625,           0.0087625,           0.0087625
                  12,            0.077306,             0.10787,              0.0115,             0.32437,             0.40543,             0.28919,            0.087707,            0.070009,            0.099227,           0.0096847,           0.0086388,           0.0086388,           0.0086388
                  13,            0.070938,             0.10394,            0.010274,             0.26491,             0.48006,              0.2378,            0.058808,            0.069034,             0.10259,            0.010185,            0.008515,            0.008515,            0.008515
                  14,            0.069354,             0.10791,            0.011032,             0.19893,             0.41135,             0.17736,            0.049159,            0.069188,             0.12655,             0.01663,           0.0083913,           0.0083913,           0.0083913
                  15,            0.069448,             0.12352,            0.010333,             0.36061,             0.46711,             0.36993,             0.15701,            0.064867,              0.1004,           0.0095543,           0.0082675,           0.0082675,           0.0082675
                  16,            0.066194,             0.10775,           0.0090514,             0.56245,             0.41438,              0.4407,             0.20034,            0.062612,             0.10197,            0.010925,           0.0081437,           0.0081437,           0.0081437
                  17,            0.064857,             0.11643,           0.0088069,              0.3804,             0.42586,             0.35799,              0.1445,            0.064872,             0.10535,           0.0094829,             0.00802,             0.00802,             0.00802
                  18,            0.065272,             0.12063,           0.0088296,             0.25126,             0.46925,             0.24478,             0.07327,            0.064204,             0.11566,            0.010553,           0.0078963,           0.0078963,           0.0078963
                  19,            0.062037,             0.12209,           0.0089417,             0.45474,             0.41757,             0.35823,             0.13719,            0.059537,             0.11994,            0.010678,           0.0077725,           0.0077725,           0.0077725
                  20,            0.062685,             0.12102,           0.0084482,             0.36296,             0.43014,             0.33801,             0.10097,            0.065791,             0.10409,           0.0090369,           0.0076488,           0.0076488,           0.0076488
                  21,            0.069438,             0.11617,           0.0085144,             0.47039,             0.42957,             0.40216,             0.14266,             0.06047,             0.10818,           0.0090841,            0.007525,            0.007525,            0.007525
                  22,            0.066075,             0.11316,           0.0091829,             0.32338,             0.49089,             0.32763,             0.14106,            0.061447,             0.11068,           0.0094099,           0.0074013,           0.0074013,           0.0074013
                  23,            0.061645,             0.10936,           0.0086964,             0.39866,             0.51872,             0.43326,             0.19325,            0.058201,             0.10826,           0.0090356,           0.0072775,           0.0072775,           0.0072775
                  24,            0.062424,             0.11922,           0.0078398,             0.43983,              0.5219,             0.44188,              0.2136,            0.058623,             0.10647,            0.008991,           0.0071538,           0.0071538,           0.0071538
                  25,            0.057736,             0.10802,            0.007253,             0.52334,             0.48442,             0.46842,             0.19619,            0.055539,             0.10472,           0.0094822,             0.00703,             0.00703,             0.00703
                  26,             0.05811,             0.10808,           0.0064863,             0.49345,             0.55481,             0.48201,             0.20816,            0.056449,             0.10496,           0.0087967,           0.0069063,           0.0069063,           0.0069063
                  27,            0.057408,             0.11046,           0.0077546,             0.39417,             0.47056,             0.38616,             0.17884,            0.055226,             0.11065,            0.012257,           0.0067825,           0.0067825,           0.0067825
                  28,              0.0549,              0.1044,           0.0066369,             0.55518,             0.42641,             0.47053,             0.17581,            0.055743,             0.11111,           0.0084231,           0.0066587,           0.0066587,           0.0066587
                  29,            0.055517,              0.1144,           0.0065066,             0.52907,             0.48149,             0.48007,             0.22936,            0.053513,             0.10771,           0.0086764,            0.006535,            0.006535,            0.006535
                  30,            0.053595,             0.10446,           0.0068194,             0.54686,             0.54413,             0.53084,             0.26106,            0.051012,             0.10667,            0.008138,           0.0064112,           0.0064112,           0.0064112
                  31,            0.052598,             0.11059,           0.0069647,             0.55986,             0.52637,             0.52595,             0.24934,             0.05111,              0.1096,           0.0082824,           0.0062875,           0.0062875,           0.0062875
                  32,            0.050728,             0.11095,           0.0070205,             0.56283,             0.52117,             0.51936,             0.26263,            0.049366,             0.11151,              0.0086,           0.0061637,           0.0061637,           0.0061637
                  33,             0.04917,             0.11279,           0.0066634,              0.5515,             0.51003,             0.49592,             0.24912,             0.04991,             0.11788,           0.0082618,             0.00604,             0.00604,             0.00604
                  34,            0.047192,             0.10373,           0.0061009,              0.4893,             0.54671,             0.48244,             0.24151,            0.050102,             0.11342,           0.0081184,           0.0059163,           0.0059163,           0.0059163
                  35,            0.045477,             0.10942,           0.0058441,             0.57085,             0.48922,              0.5041,             0.26313,            0.048898,             0.11133,           0.0082014,           0.0057925,           0.0057925,           0.0057925
                  36,            0.042774,             0.10275,           0.0057483,             0.55562,             0.51546,             0.47788,             0.25744,            0.047137,             0.11252,           0.0083517,           0.0056688,           0.0056688,           0.0056688
                  37,             0.04063,            0.096834,           0.0057817,             0.51172,             0.49165,             0.48504,             0.26132,            0.044818,             0.11416,           0.0079664,            0.005545,            0.005545,            0.005545
                  38,            0.040205,             0.10454,           0.0053174,             0.63941,             0.46618,             0.51935,             0.27327,            0.044268,             0.11579,           0.0075017,           0.0054212,           0.0054212,           0.0054212
                  39,            0.040352,            0.097399,           0.0058146,             0.52802,             0.55479,             0.51193,             0.26686,            0.046226,             0.11796,           0.0082852,           0.0052975,           0.0052975,           0.0052975
                  40,            0.040106,             0.10795,           0.0058363,             0.40224,             0.52192,             0.39226,             0.19453,            0.047977,             0.13972,            0.010996,           0.0051737,           0.0051737,           0.0051737
                  41,            0.039659,             0.10694,           0.0044246,             0.59227,             0.42166,              0.4824,              0.2361,            0.046299,             0.11857,           0.0083803,             0.00505,             0.00505,             0.00505
                  42,            0.040823,             0.10597,           0.0040192,             0.49038,             0.55709,             0.48385,             0.23743,             0.04925,             0.12488,           0.0080708,           0.0049263,           0.0049263,           0.0049263
                  43,            0.040925,             0.10958,           0.0047833,             0.47206,             0.58909,             0.50593,             0.26069,            0.043806,             0.12211,            0.007752,           0.0048025,           0.0048025,           0.0048025
                  44,            0.041555,             0.10381,           0.0047132,             0.47376,             0.54199,             0.47189,             0.20334,             0.05084,             0.12036,           0.0083515,           0.0046788,           0.0046788,           0.0046788
                  45,            0.040547,             0.10075,           0.0041696,             0.47018,              0.5504,             0.49579,             0.26992,            0.043152,             0.12139,           0.0084224,            0.004555,            0.004555,            0.004555
                  46,            0.040618,              0.1023,           0.0050554,             0.54159,             0.47258,             0.46587,             0.22469,            0.048446,             0.12247,           0.0087637,           0.0044313,           0.0044313,           0.0044313
                  47,            0.042329,            0.094723,           0.0048654,             0.44249,             0.59804,             0.47232,             0.24727,            0.045521,             0.12193,           0.0086642,           0.0043075,           0.0043075,           0.0043075
                  48,            0.038469,            0.094322,           0.0048849,              0.5186,             0.51327,             0.49509,             0.26514,            0.044494,             0.12169,           0.0081676,           0.0041837,           0.0041837,           0.0041837
                  49,            0.038511,            0.088301,           0.0043371,             0.59449,             0.51842,             0.51741,             0.27135,            0.043985,             0.12151,           0.0084065,             0.00406,             0.00406,             0.00406
                  50,            0.038314,            0.085556,           0.0039542,             0.55468,             0.48701,             0.48583,             0.26257,            0.043251,             0.13222,           0.0080667,           0.0039362,           0.0039362,           0.0039362
                  51,            0.036919,            0.096422,           0.0043875,             0.52315,             0.49313,             0.47789,             0.25244,            0.044898,             0.12774,           0.0083382,           0.0038125,           0.0038125,           0.0038125
                  52,            0.037749,            0.096169,           0.0042813,                0.57,             0.51994,             0.52113,             0.27286,            0.040561,             0.12055,           0.0087881,           0.0036888,           0.0036888,           0.0036888
                  53,            0.039185,            0.090458,           0.0045385,             0.52194,             0.51414,             0.48539,             0.25395,            0.041784,             0.13511,           0.0094331,            0.003565,            0.003565,            0.003565
                  54,            0.036565,             0.10186,           0.0046806,             0.54191,             0.55939,             0.51099,             0.27302,            0.039838,             0.12483,            0.008241,           0.0034413,           0.0034413,           0.0034413
                  55,            0.035583,            0.096602,           0.0046693,             0.56688,             0.49099,             0.49789,             0.27041,            0.042397,             0.13046,            0.008727,           0.0033175,           0.0033175,           0.0033175
                  56,            0.033817,            0.090356,           0.0044605,              0.5506,             0.55054,             0.50367,             0.27405,            0.039699,             0.12111,           0.0078036,           0.0031938,           0.0031938,           0.0031938
                  57,            0.033011,            0.088985,           0.0040164,             0.54642,             0.58582,             0.53726,             0.28731,            0.038905,             0.12309,            0.007855,             0.00307,             0.00307,             0.00307
                  58,            0.032556,            0.087949,            0.004616,             0.61393,              0.4945,             0.52028,             0.27974,            0.039645,             0.12681,           0.0081293,           0.0029462,           0.0029462,           0.0029462
                  59,            0.031753,            0.082649,            0.003955,             0.60321,             0.51524,             0.53165,             0.29445,            0.038874,             0.12459,           0.0082801,           0.0028225,           0.0028225,           0.0028225
                  60,            0.031695,             0.08376,           0.0042156,             0.63359,             0.49431,             0.53733,             0.29814,            0.039001,              0.1261,           0.0082092,           0.0026987,           0.0026987,           0.0026987
                  61,            0.031398,            0.077585,           0.0043951,             0.56283,             0.54594,             0.52871,             0.29539,            0.039109,                0.13,            0.008263,            0.002575,            0.002575,            0.002575
                  62,             0.03034,            0.080902,           0.0039822,             0.59611,             0.48343,             0.50363,             0.28082,            0.040247,             0.13546,           0.0083058,           0.0024513,           0.0024513,           0.0024513
                  63,            0.030584,            0.085373,           0.0041207,             0.54572,             0.52496,             0.50232,              0.2862,            0.039424,             0.13424,           0.0081612,           0.0023275,           0.0023275,           0.0023275
                  64,            0.030557,            0.080285,           0.0038445,             0.53351,             0.52855,              0.5099,             0.28971,            0.039002,             0.13074,           0.0083216,           0.0022038,           0.0022038,           0.0022038
                  65,            0.030145,            0.079315,           0.0039017,             0.55303,             0.51534,             0.50109,             0.28461,            0.038826,             0.13328,           0.0079318,             0.00208,             0.00208,             0.00208
                  66,            0.029725,            0.083709,           0.0038888,             0.55832,             0.53075,             0.51245,             0.29183,            0.039017,             0.13264,           0.0080433,           0.0019563,           0.0019563,           0.0019563
                  67,            0.029157,            0.079902,           0.0042726,             0.57264,             0.53458,              0.5209,              0.2946,            0.038715,              0.1325,            0.008133,           0.0018325,           0.0018325,           0.0018325
                  68,            0.029904,             0.08504,           0.0034479,             0.56476,             0.55391,             0.53188,             0.29858,            0.038168,             0.12866,           0.0080537,           0.0017087,           0.0017087,           0.0017087
                  69,            0.027689,            0.077544,           0.0034172,             0.49233,             0.61077,             0.52414,             0.29844,            0.038394,             0.12947,           0.0083282,            0.001585,            0.001585,            0.001585
                  70,            0.028663,            0.079668,           0.0034782,             0.50577,             0.59281,             0.51608,              0.2917,            0.039029,             0.13003,           0.0083437,           0.0014612,           0.0014612,           0.0014612
                  71,            0.029164,            0.075432,           0.0038633,             0.62283,             0.47401,             0.51212,             0.29219,            0.038456,             0.13251,           0.0081707,           0.0013375,           0.0013375,           0.0013375
                  72,            0.027791,            0.075209,           0.0035493,             0.56742,              0.5184,             0.51949,             0.29469,            0.038404,             0.13217,           0.0082511,           0.0012138,           0.0012138,           0.0012138
                  73,            0.027587,            0.079214,           0.0036221,               0.559,             0.53424,             0.52641,              0.2998,            0.038486,             0.13246,           0.0082184,             0.00109,             0.00109,             0.00109
                  74,             0.02821,            0.074934,            0.003372,             0.51342,              0.5963,             0.53238,             0.29876,            0.038501,             0.13232,           0.0078055,          0.00096625,          0.00096625,          0.00096625
                  75,            0.028805,            0.082743,           0.0032372,             0.56088,             0.55645,             0.54021,             0.30316,            0.038271,             0.13124,           0.0080458,           0.0008425,           0.0008425,           0.0008425
                  76,            0.028232,            0.073861,           0.0031141,             0.52838,             0.58123,             0.53484,             0.30021,            0.038455,             0.13227,            0.007959,          0.00071875,          0.00071875,          0.00071875
                  77,            0.027456,            0.083353,           0.0033018,             0.53058,             0.56804,             0.53101,             0.30136,            0.038488,             0.13351,            0.007922,            0.000595,            0.000595,            0.000595
                  78,            0.026706,            0.069797,           0.0029503,             0.56743,             0.54187,             0.53141,              0.2996,            0.038405,             0.13251,           0.0077948,          0.00047125,          0.00047125,          0.00047125
                  79,            0.028483,            0.073435,           0.0033106,             0.52783,             0.57675,             0.52644,             0.29839,            0.038372,             0.13353,            0.007897,           0.0003475,           0.0003475,           0.0003475
